Index,Type,Data
0,URLLC,23
1,URLLC,19
2,URLLC,24
3,URLLC,13
4,URLLC,22
5,URLLC,18
6,URLLC,24
7,URLLC,13
8,URLLC,14
9,URLLC,23
10,URLLC,15
11,URLLC,22
12,URLLC,16
13,URLLC,11
14,URLLC,10
15,URLLC,28
16,URLLC,14
17,URLLC,15
18,URLLC,22
19,URLLC,27
20,URLLC,18
21,URLLC,30
22,URLLC,24
23,URLLC,11
24,URLLC,19
25,URLLC,28
26,URLLC,20
27,URLLC,10
28,URLLC,17
29,URLLC,12
30,URLLC,17
31,URLLC,15
32,URLLC,26
33,URLLC,17
34,URLLC,13
35,URLLC,10
36,URLLC,20
37,URLLC,28
38,URLLC,28
39,URLLC,13
40,URLLC,28
41,URLLC,25
42,URLLC,16
43,URLLC,26
44,URLLC,11
45,URLLC,15
46,URLLC,24
47,URLLC,13
48,URLLC,27
49,URLLC,18
50,URLLC,30
51,URLLC,29
52,URLLC,21
53,URLLC,10
54,URLLC,28
55,URLLC,27
56,URLLC,30
57,URLLC,22
58,URLLC,24
59,URLLC,30
60,URLLC,20
61,URLLC,15
62,URLLC,16
63,URLLC,12
64,URLLC,16
65,URLLC,29
66,URLLC,19
67,URLLC,10
68,URLLC,23
69,URLLC,18
70,URLLC,30
71,URLLC,15
72,URLLC,28
73,URLLC,14
74,URLLC,10
75,URLLC,14
76,URLLC,27
77,URLLC,16
78,URLLC,11
79,URLLC,12
80,URLLC,16
81,URLLC,20
82,URLLC,18
83,URLLC,10
84,URLLC,26
85,URLLC,21
86,URLLC,11
87,URLLC,15
88,URLLC,18
89,URLLC,27
90,URLLC,14
91,URLLC,15
92,URLLC,14
93,URLLC,25
94,URLLC,24
95,URLLC,28
96,URLLC,21
97,URLLC,24
98,URLLC,23
99,URLLC,11
100,eMBB,169
101,eMBB,200
102,eMBB,178
103,eMBB,148
104,eMBB,155
105,eMBB,59
106,eMBB,186
107,eMBB,158
108,eMBB,106
109,eMBB,146
110,eMBB,86
111,eMBB,82
112,eMBB,72
113,eMBB,175
114,eMBB,188
115,eMBB,192
116,eMBB,122
117,eMBB,177
118,eMBB,129
119,eMBB,110
120,eMBB,91
121,eMBB,119
122,eMBB,134
123,eMBB,54
124,eMBB,148
125,eMBB,74
126,eMBB,102
127,eMBB,160
128,eMBB,68
129,eMBB,60
130,eMBB,184
131,eMBB,83
132,eMBB,112
133,eMBB,61
134,eMBB,159
135,eMBB,104
136,eMBB,128
137,eMBB,166
138,eMBB,146
139,eMBB,160
140,eMBB,150
141,eMBB,51
142,eMBB,110
143,eMBB,147
144,eMBB,57
145,eMBB,124
146,eMBB,145
147,eMBB,163
148,eMBB,180
149,eMBB,138
150,eMBB,84
151,eMBB,193
152,eMBB,123
153,eMBB,60
154,eMBB,148
155,eMBB,134
156,eMBB,123
157,eMBB,72
158,eMBB,149
159,eMBB,153
160,eMBB,95
161,eMBB,106
162,eMBB,192
163,eMBB,128
164,eMBB,91
165,eMBB,72
166,eMBB,173
167,eMBB,174
168,eMBB,54
169,eMBB,95
170,eMBB,186
171,eMBB,52
172,eMBB,176
173,eMBB,175
174,eMBB,160
175,eMBB,116
176,eMBB,149
177,eMBB,198
178,eMBB,189
179,eMBB,52
180,eMBB,140
181,eMBB,90
182,eMBB,60
183,eMBB,144
184,eMBB,187
185,eMBB,81
186,eMBB,96
187,eMBB,140
188,eMBB,197
189,eMBB,74
190,eMBB,154
191,eMBB,88
192,eMBB,90
193,eMBB,162
194,eMBB,70
195,eMBB,164
196,eMBB,153
197,eMBB,58
198,eMBB,177
199,eMBB,133
200,eMBB,62
201,eMBB,156
202,eMBB,83
203,eMBB,129
204,eMBB,80
205,eMBB,88
206,eMBB,86
207,eMBB,67
208,eMBB,188
209,eMBB,198
210,eMBB,108
211,eMBB,75
212,eMBB,102
213,eMBB,127
214,eMBB,123
215,eMBB,71
216,eMBB,74
217,eMBB,146
218,eMBB,169
219,eMBB,77
220,eMBB,110
221,eMBB,165
222,eMBB,153
223,eMBB,76
224,eMBB,163
225,eMBB,116
226,eMBB,147
227,eMBB,165
228,eMBB,160
229,eMBB,129
230,eMBB,108
231,eMBB,133
232,eMBB,56
233,eMBB,174
234,eMBB,118
235,eMBB,157
236,eMBB,145
237,eMBB,136
238,eMBB,192
239,eMBB,98
240,eMBB,164
241,eMBB,163
242,eMBB,136
243,eMBB,128
244,eMBB,60
245,eMBB,143
246,eMBB,149
247,eMBB,159
248,eMBB,168
249,eMBB,146
250,eMBB,163
251,eMBB,128
252,eMBB,79
253,eMBB,127
254,eMBB,95
255,eMBB,54
256,eMBB,122
257,eMBB,160
258,eMBB,126
259,eMBB,154
260,eMBB,144
261,eMBB,111
262,eMBB,135
263,eMBB,85
264,eMBB,94
265,eMBB,70
266,eMBB,104
267,eMBB,63
268,eMBB,145
269,eMBB,57
270,eMBB,195
271,eMBB,50
272,eMBB,117
273,eMBB,112
274,eMBB,71
275,eMBB,103
276,eMBB,189
277,eMBB,120
278,eMBB,153
279,eMBB,116
280,eMBB,164
281,eMBB,115
282,eMBB,119
283,eMBB,143
284,eMBB,150
285,eMBB,176
286,eMBB,191
287,eMBB,174
288,eMBB,76
289,eMBB,95
290,eMBB,186
291,eMBB,151
292,eMBB,116
293,eMBB,128
294,eMBB,132
295,eMBB,79
296,eMBB,166
297,eMBB,134
298,eMBB,167
299,eMBB,192
300,eMBB,50
301,eMBB,100
302,eMBB,164
303,eMBB,61
304,eMBB,198
305,eMBB,99
306,eMBB,59
307,eMBB,129
308,eMBB,66
309,eMBB,70
310,eMBB,200
311,eMBB,135
312,eMBB,50
313,eMBB,52
314,eMBB,160
315,eMBB,118
316,eMBB,200
317,eMBB,128
318,eMBB,95
319,eMBB,194
320,eMBB,94
321,eMBB,67
322,eMBB,77
323,eMBB,158
324,eMBB,113
325,eMBB,146
326,eMBB,90
327,eMBB,131
328,eMBB,200
329,eMBB,60
330,eMBB,109
331,eMBB,186
332,eMBB,86
333,eMBB,192
334,eMBB,113
335,eMBB,89
336,eMBB,195
337,eMBB,143
338,eMBB,110
339,eMBB,101
340,eMBB,115
341,eMBB,155
342,eMBB,165
343,eMBB,67
344,eMBB,93
345,eMBB,193
346,eMBB,61
347,eMBB,108
348,eMBB,86
349,eMBB,175
350,mMTC,12
351,mMTC,19
352,mMTC,13
353,mMTC,18
354,mMTC,9
355,mMTC,6
356,mMTC,7
357,mMTC,6
358,mMTC,19
359,mMTC,20
360,mMTC,9
361,mMTC,6
362,mMTC,5
363,mMTC,11
364,mMTC,6
365,mMTC,14
366,mMTC,6
367,mMTC,19
368,mMTC,8
369,mMTC,19
370,mMTC,7
371,mMTC,15
372,mMTC,10
373,mMTC,7
374,mMTC,8
375,mMTC,5
376,mMTC,9
377,mMTC,20
378,mMTC,18
379,mMTC,19
380,mMTC,5
381,mMTC,16
382,mMTC,7
383,mMTC,18
384,mMTC,17
385,mMTC,8
386,mMTC,10
387,mMTC,6
388,mMTC,6
389,mMTC,13
390,mMTC,13
391,mMTC,8
392,mMTC,6
393,mMTC,14
394,mMTC,6
395,mMTC,18
396,mMTC,6
397,mMTC,16
398,mMTC,19
399,mMTC,6
400,mMTC,10
401,mMTC,7
402,mMTC,15
403,mMTC,8
404,mMTC,13
405,mMTC,14
406,mMTC,5
407,mMTC,19
408,mMTC,10
409,mMTC,5
410,mMTC,10
411,mMTC,7
412,mMTC,6
413,mMTC,18
414,mMTC,20
415,mMTC,14
416,mMTC,7
417,mMTC,13
418,mMTC,13
419,mMTC,12
420,mMTC,18
421,mMTC,18
422,mMTC,6
423,mMTC,5
424,mMTC,20
425,mMTC,5
426,mMTC,18
427,mMTC,16
428,mMTC,17
429,mMTC,15
430,mMTC,13
431,mMTC,11
432,mMTC,14
433,mMTC,7
434,mMTC,12
435,mMTC,8
436,mMTC,12
437,mMTC,16
438,mMTC,18
439,mMTC,18
440,mMTC,6
441,mMTC,15
442,mMTC,8
443,mMTC,7
444,mMTC,18
445,mMTC,17
446,mMTC,7
447,mMTC,19
448,mMTC,13
449,mMTC,17
450,mMTC,20
451,mMTC,14
452,mMTC,20
453,mMTC,17
454,mMTC,13
455,mMTC,5
456,mMTC,7
457,mMTC,5
458,mMTC,11
459,mMTC,10
460,mMTC,14
461,mMTC,9
462,mMTC,15
463,mMTC,17
464,mMTC,14
465,mMTC,14
466,mMTC,16
467,mMTC,18
468,mMTC,10
469,mMTC,9
470,mMTC,15
471,mMTC,7
472,mMTC,18
473,mMTC,5
474,mMTC,8
475,mMTC,17
476,mMTC,15
477,mMTC,15
478,mMTC,19
479,mMTC,5
480,mMTC,14
481,mMTC,14
482,mMTC,11
483,mMTC,8
484,mMTC,5
485,mMTC,9
486,mMTC,7
487,mMTC,10
488,mMTC,10
489,mMTC,15
490,mMTC,5
491,mMTC,14
492,mMTC,19
