Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,25017.5,24508.1,24544.5,25040.7,25049.4,24574.2,24494.8,24782.4,24451.9,24523
10,24629.6,24508.1,24544.5,24626.9,24381.8,24484.3,24277.2,24572.6,24451.9,24467.5
20,24320.4,24508.1,24544.5,24497.4,24381.8,24468,24277.2,24471.9,24451.9,24467.5
30,24320.4,24508.1,24544.5,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
40,24320.4,24508.1,24544.5,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
50,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
60,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
70,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
80,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
90,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
100,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
110,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
120,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
130,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
140,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
150,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
160,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
170,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
180,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
190,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
200,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
210,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
220,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
230,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
240,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
250,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
260,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
270,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
280,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
290,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
300,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
310,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
320,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
330,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
340,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
350,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
360,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
370,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
380,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
390,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
400,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
410,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
420,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
430,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
440,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
450,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
460,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
470,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
480,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
490,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
500,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
510,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
520,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
530,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
540,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
550,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
560,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
570,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
580,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
590,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
600,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
610,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
620,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
630,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
640,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
650,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
660,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
670,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
680,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
690,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
700,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
710,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
720,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
730,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
740,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
750,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
760,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
770,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
780,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
790,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
800,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
810,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
820,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
830,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
840,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
850,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
860,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
870,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
880,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
890,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
900,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
910,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
920,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
930,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
940,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
950,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
960,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
970,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
980,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
990,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
1000,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
1010,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
1020,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
1030,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
1040,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
1050,24320.4,24508.1,24488.1,24460,24381.8,24468,24277.2,24471.9,24451.9,24452.2
