Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,25196.6,25159.2,25223.7,25219.6,25150,25124.5,25192.1,25053.8,25092.5,24979.1
10,25196.6,25159.2,25223.7,25219.6,25150,25124.5,25192.1,25053.8,25092.5,24979.1
20,25196.6,25159.2,25223.7,25219.6,25150,25124.5,25192.1,25053.8,25092.5,24979.1
30,25196.6,25147,25223.7,25202.3,25110.2,25124.5,25127.5,25053.8,25092.5,24979.1
40,25091.3,24963.2,25108,25202.3,25034.9,25019.2,25127.5,24998.5,25003.6,24885.3
50,25091.3,24963.2,25108,25202.3,25034.9,25019.2,25127.5,24961.8,25003.6,24885.3
60,25022.2,24963.2,25082.8,25087.3,25034.9,24950.3,25114.3,24961.8,24970.1,24885.3
70,24951.7,24963.2,25082.8,25087.3,25034.9,24924.1,25114.3,24961.8,24962.9,24885.3
80,24951.7,24963.2,25082.8,25087.3,25034.9,24924.1,24904,24868.5,24962.9,24885.3
90,24951.7,24963.2,25082.8,24932.4,25034.9,24924.1,24904,24868.5,24906.3,24885.3
100,24951.7,24963.2,24993.2,24932.4,25034.9,24924.1,24904,24868.5,24906.3,24885.3
110,24886.4,24963.2,24993.2,24932.4,25034.9,24924.1,24904,24791.7,24906.3,24885.3
120,24886.4,24963.2,24993.2,24932.4,25034.9,24924.1,24904,24791.7,24906.3,24885.3
130,24886.4,24963.2,24865.2,24932.4,25034.9,24924.1,24904,24791.7,24906.3,24885.3
140,24886.4,24963.2,24865.2,24932.4,24952.4,24924.1,24904,24791.7,24906.3,24885.3
150,24886.4,24963.2,24865.2,24882.6,24952.4,24924.1,24904,24791.7,24906.3,24885.3
160,24886.4,24963.2,24865.2,24857.8,24849.3,24843,24904,24791.7,24906.3,24885.3
170,24798.2,24963.2,24863.2,24857.8,24849.3,24738.5,24881.2,24791.7,24906.3,24885.3
180,24798.2,24963.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24906.3,24885.3
190,24798.2,24963.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24866.2,24885.3
200,24798.2,24802.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24866.2,24885.3
210,24798.2,24802.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24866.2,24885.3
220,24798.2,24802.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24866.2,24885.3
230,24798.2,24802.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24866.2,24885.3
240,24798.2,24802.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24866.2,24885.3
250,24798.2,24802.2,24863.2,24857.8,24849.3,24738.5,24881.2,24619.7,24866.2,24885.3
260,24798.2,24802.2,24863.2,24857.8,24837.6,24738.5,24881.2,24619.7,24866.2,24885.3
270,24798.2,24802.2,24863.2,24857.8,24837.6,24738.5,24881.2,24619.7,24866.2,24885.3
280,24798.2,24802.2,24863.2,24857.8,24837.6,24738.5,24881.2,24619.7,24866.2,24885.3
290,24798.2,24802.2,24863.2,24857.8,24837.6,24738.5,24762.1,24619.7,24866.2,24885.3
300,24798.2,24802.2,24863.2,24857.8,24837.6,24738.5,24762.1,24619.7,24866.2,24885.3
310,24798.2,24802.2,24863.2,24857.8,24837.6,24738.5,24762.1,24619.7,24866.2,24885.3
320,24798.2,24802.2,24863.2,24857.8,24837.6,24738.5,24762.1,24619.7,24866.2,24885.3
330,24798.2,24802.2,24863.2,24766.2,24837.6,24738.5,24762.1,24619.7,24866.2,24885.3
340,24798.2,24802.2,24863.2,24766.2,24837.6,24738.5,24762.1,24619.7,24866.2,24885.3
350,24798.2,24802.2,24863.2,24766.2,24837.6,24738.5,24762.1,24619.7,24820.9,24885.3
360,24798.2,24802.2,24863.2,24766.2,24837.6,24738.5,24762.1,24619.7,24820.9,24885.3
370,24798.2,24802.2,24794.4,24766.2,24837.6,24738.5,24762.1,24619.7,24820.9,24885.3
380,24798.2,24802.2,24794.4,24766.2,24801.9,24738.5,24762.1,24619.7,24777.7,24885.3
390,24798.2,24802.2,24794.4,24766.2,24801.9,24738.5,24762.1,24619.7,24777.7,24885.3
400,24685.7,24802.2,24794.4,24766.2,24801.9,24738.5,24762.1,24619.7,24777.7,24885.3
410,24685.7,24802.2,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24885.3
420,24685.7,24802.2,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24885.3
430,24685.7,24802.2,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
440,24685.7,24802.2,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
450,24685.7,24727.4,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
460,24685.7,24727.4,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
470,24685.7,24727.4,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
480,24685.7,24698,24794.4,24766.2,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
490,24685.7,24698,24794.4,24745.5,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
500,24685.7,24698,24794.4,24745.5,24713.5,24738.5,24762.1,24619.7,24777.7,24715.3
510,24685.7,24698,24794.4,24745.5,24713.5,24718,24762.1,24619.7,24777.7,24715.3
520,24685.7,24698,24794.4,24745.5,24713.5,24718,24762.1,24619.7,24777.7,24715.3
530,24685.7,24698,24794.4,24745.5,24713.5,24718,24762.1,24619.7,24777.7,24715.3
540,24685.7,24698,24794.4,24745.5,24713.5,24718,24762.1,24619.7,24777.7,24715.3
550,24645.3,24698,24794.4,24745.5,24713.5,24718,24762.1,24619.7,24777.7,24715.3
560,24645.3,24698,24718.2,24724.2,24713.5,24718,24762.1,24619.7,24777.7,24715.3
570,24645.3,24698,24718.2,24724.2,24713.5,24718,24762.1,24619.7,24777.7,24715.3
580,24645.3,24698,24718.2,24724.2,24713.5,24718,24762.1,24619.7,24777.7,24715.3
590,24645.3,24698,24718.2,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
600,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
610,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
620,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
630,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
640,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
650,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
660,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
670,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
680,24645.3,24698,24708.9,24724.2,24713.5,24718,24695.8,24619.7,24777.7,24715.3
690,24645.3,24698,24708.9,24654.9,24713.5,24718,24695.8,24619.7,24777.7,24715.3
700,24645.3,24633,24708.9,24654.9,24713.5,24718,24695.8,24619.7,24777.7,24715.3
710,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24715.3
720,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24715.3
730,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24715.3
740,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24715.3
750,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24715.3
760,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24661
770,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24661
780,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24661
790,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24661
800,24645.3,24633,24708.9,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24661
810,24645.3,24633,24482.6,24654.4,24713.5,24718,24695.8,24619.7,24777.7,24661
820,24645.3,24633,24482.6,24654.4,24713.5,24718,24695.8,24619.7,24707.2,24661
830,24645.3,24633,24482.6,24654.4,24625,24718,24695.8,24619.7,24707.2,24661
840,24645.3,24633,24482.6,24654.4,24625,24718,24693.6,24619.7,24707.2,24661
850,24645.3,24633,24482.6,24654.4,24625,24718,24693.6,24619.7,24707.2,24661
860,24645.3,24633,24482.6,24654.4,24625,24718,24693.6,24619.7,24707.2,24661
870,24645.3,24633,24482.6,24654.4,24625,24718,24693.6,24619.7,24707.2,24661
880,24578.7,24633,24482.6,24654.4,24625,24718,24693.6,24619.7,24707.2,24661
890,24578.7,24633,24482.6,24534.4,24625,24718,24693.6,24619.7,24707.2,24661
900,24578.7,24633,24482.6,24534.4,24625,24718,24693.6,24619.7,24707.2,24661
910,24578.7,24603.7,24482.6,24534.4,24625,24718,24693.6,24619.7,24707.2,24661
920,24578.7,24603.7,24482.6,24534.4,24625,24718,24693.6,24619.7,24707.2,24661
930,24578.7,24603.7,24482.6,24534.4,24625,24718,24693.6,24619.7,24707.2,24661
940,24578.7,24603.7,24482.6,24534.4,24625,24661.3,24693.6,24619.7,24707.2,24661
950,24578.7,24603.7,24482.6,24534.4,24625,24661.3,24693.6,24619.7,24707.2,24661
960,24578.7,24603.7,24482.6,24534.4,24625,24661.3,24693.6,24619.7,24707.2,24661
970,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24693.6,24619.7,24707.2,24661
980,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24693.6,24619.7,24707.2,24661
990,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1000,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1010,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1020,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1030,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1040,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1050,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1060,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1070,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
1080,24578.7,24603.7,24482.6,24534.4,24625,24571.1,24692.5,24619.7,24707.2,24661
