Evaluation,Retest1,Retest2,Retest3,Retest4,Retest5,Retest6,Retest7,Retest8,Retest9,Retest10
1,23294.7,23515.7,23559.8,23421.8,23355.9,23290,23383.8,23215,23341.5,23417.1
10,23294.7,23371.3,23559.8,23421.8,23276.7,23078.4,23243.1,23215,23341.5,23318.7
20,23294.7,23371.3,23498.2,23421.8,23276.7,23041.5,23243.1,23215,23334.1,23240.1
30,23294.7,23322.8,23377.3,23421.8,23043.1,23041.5,23243.1,23215,23114.1,23240.1
40,23294.7,23322.8,23377.3,23059.4,23043.1,23041.5,23243.1,23215,23065.2,23237.4
50,23048.5,23322.8,23377.3,23059.4,23015.5,23041.5,23241.7,23215,23065.2,23187.3
60,23048.5,23322.8,23372.1,23059.4,23015.5,23015.3,23241.7,23215,23065.2,23121.2
70,23048.5,23322.8,23372.1,23059.4,23015.5,23015.3,23241.7,23215,23065.2,23121.2
80,23048.5,23303.7,23221.3,23059.4,22947.8,23015.3,23080.4,23215,23065.2,23039.6
90,22923.9,23141.5,23221.3,23059.4,22947.8,23015.3,23080.4,23215,23065.2,23024.3
100,22812.6,23141.5,23129.1,23059.4,22947.8,23015.3,23080.4,23215,23065.2,23024.3
110,22812.6,23040.8,23129.1,23059.4,22947.8,23015.3,23080.4,23215,23065.2,23024.3
120,22632.3,23040.8,23129.1,23059.4,22947.8,23015.3,23080.4,23215,23065.2,23024.3
130,22632.3,23040.8,23129.1,23008.2,22947.8,23015.3,23080.4,23153.1,23065.2,23024.3
140,22632.3,23040.8,23129.1,23008.2,22885.4,23015.3,23080.4,23153.1,23041.3,23001.2
150,22632.3,23040.8,23129.1,23008.2,22885.4,23015.3,23080.4,23065.3,23041.3,22953.2
160,22632.3,23040.8,23129.1,23008.2,22885.4,23015.3,23080.4,23065.3,23041.3,22953.2
170,22632.3,23040.8,23129.1,23008.2,22885.4,23015.3,23080.4,23065.3,23041.3,22953.2
180,22632.3,23040.8,23129.1,23008.2,22852.4,23015.3,23080.4,23065.3,23041.3,22953.2
190,22632.3,23040.8,23129.1,23008.2,22852.4,23015.3,23080.4,22891.1,23041.3,22953.2
200,22632.3,22970.4,23129.1,23008.2,22852.4,23015.3,23080.4,22891.1,23041.3,22953.2
210,22632.3,22970.4,23119.8,23008.2,22852.4,23015.3,23080.4,22891.1,23041.3,22953.2
220,22632.3,22970.4,23119.8,23008.2,22852.4,23015.3,23080.4,22891.1,23041.3,22953.2
230,22632.3,22842.2,23119.8,23008.2,22852.4,23015.3,23080.4,22891.1,23041.3,22953.2
240,22632.3,22842.2,23094.3,23008.2,22852.4,23015.3,22981,22891.1,23041.3,22953.2
250,22632.3,22842.2,23094.3,23008.2,22852.4,23006.5,22981,22891.1,23041.3,22953.2
260,22632.3,22842.2,23094.3,23008.2,22852.4,23006.5,22981,22891.1,23041.3,22953.2
270,22632.3,22842.2,23094.3,23008.2,22758.9,23006.5,22981,22891.1,23041.3,22953.2
280,22632.3,22842.2,23094.3,22884.9,22758.9,23006.5,22981,22891.1,23041.3,22953.2
290,22632.3,22842.2,23094.3,22884.9,22758.9,23006.5,22981,22891.1,23041.3,22953.2
300,22632.3,22842.2,23094.3,22884.9,22758.9,23006.5,22981,22891.1,23041.3,22953.2
310,22632.3,22842.2,23094.3,22884.9,22758.9,23006.5,22981,22891.1,23041.3,22953.2
320,22632.3,22842.2,23094.3,22884.9,22758.9,23006.5,22981,22891.1,22982.8,22953.2
